state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
MS,58,510,no,no,0,136.1,107,23.14,208.2,110,17.7,218.2,95,9.82,9.3,4,2.51,2,no
WY,116,510,no,no,0,261.9,81,44.52,226.2,93,19.23,183.4,121,8.25,7.5,5,2.03,2,no
KY,125,408,no,no,0,193.6,101,32.91,218.4,87,18.56,267.6,67,12.04,13.5,1,3.65,0,no
TX,23,415,no,yes,6,189.2,96,32.16,207.3,99,17.62,226.9,124,10.21,7.6,6,2.05,0,no
NJ,138,408,yes,yes,14,230.8,109,39.24,233.3,79,19.83,224.0,87,10.08,13.3,3,3.59,2,no
GA,52,415,no,yes,6,170.3,129,28.95,252.4,138,21.45,173.8,108,7.82,11.7,5,3.16,1,no
OK,97,510,no,no,0,227.7,103,38.71,154.3,107,13.12,221.4,111,9.96,13.2,4,3.56,2,yes
ME,122,510,no,no,0,163.7,117,27.83,190.8,89,16.22,210.5,110,9.47,12.8,1,3.46,3,no
LA,75,510,no,no,0,191.8,86,32.61,150.9,102,12.83,220.5,110,9.92,12.5,3,3.38,2,yes
ID,193,415,no,yes,6,170.8,72,29.04,203.5,99,17.3,192.7,131,8.67,10.5,4,2.83,2,no
PA,90,510,yes,no,0,271.5,99,46.16,168.4,74,14.31,196.3,60,8.83,6.1,2,1.65,3,yes
TX,8,415,no,no,0,146.0,100,24.82,155.1,144,13.18,174.9,84,7.87,7.9,4,2.13,4,no
WI,89,510,no,no,0,109.5,109,18.62,181.4,120,15.42,193.2,85,8.69,9.9,4,2.67,1,no
RI,110,408,yes,no,0,204.0,110,34.68,154.1,85,13.1,195.9,137,8.82,9.7,3,2.62,4,yes
OK,90,510,no,no,0,194.0,110,32.98,212.4,105,18.05,194.1,131,8.73,13.4,5,3.62,0,no
CA,64,415,no,no,0,212.2,116,36.07,285.1,148,24.23,224.3,100,10.09,11.1,5,3.0,1,no
DE,1,408,no,no,0,202.2,118,34.37,208.0,105,17.68,180.2,110,8.11,12.6,0,3.4,0,no
RI,119,408,no,no,0,204.3,117,34.73,198.2,120,16.85,171.5,118,7.72,9.8,7,2.65,1,no
NE,133,415,no,no,0,118.1,136,20.08,241.0,94,20.49,172.3,122,7.75,11.5,6,3.11,0,no
PA,79,510,no,no,0,199.1,95,33.85,174.9,96,14.87,145.8,90,6.56,9.1,3,2.46,3,yes
WY,59,510,no,no,0,239.0,128,40.63,182.3,135,15.5,199.9,151,9.0,10.4,7,2.81,1,no
VT,139,510,no,no,0,242.3,78,41.19,156.2,97,13.28,172.0,83,7.74,6.2,5,1.67,0,yes
NC,39,415,no,no,0,178.1,113,30.28,186.2,104,15.83,182.7,90,8.22,6.9,1,1.86,3,yes
WV,110,510,no,no,0,243.6,98,41.41,217.9,115,18.52,164.1,136,7.38,11.5,6,3.11,0,no
MT,148,415,no,yes,4,185.2,100,31.48,186.6,69,15.86,232.7,123,10.47,7.0,3,1.89,2,no
FL,165,408,no,no,0,169.5,92,28.82,200.1,143,17.01,226.3,81,10.18,10.1,3,2.73,1,no
OR,138,408,no,yes,10,185.0,105,31.45,172.8,99,14.69,221.4,104,9.96,11.8,3,3.19,2,no
KS,117,415,no,no,0,199.9,82,33.98,264.7,118,22.5,233.3,124,10.5,11.6,3,3.13,1,no
NE,127,510,yes,no,0,215.3,113,36.6,198.6,76,16.88,237.0,88,10.66,7.2,1,1.94,0,yes
MN,147,415,no,no,0,162.5,75,27.63,193.7,88,16.46,219.3,93,9.87,1.9,4,0.51,0,no
MI,1,510,no,no,0,258.4,104,43.93,150.5,120,12.79,252.3,104,11.35,11.9,5,3.21,0,no
IN,43,408,no,no,0,189.0,102,32.13,205.4,78,17.46,236.3,109,10.63,6.5,3,1.76,1,no
DE,94,415,no,no,0,200.4,80,34.07,220.3,136,18.73,207.8,103,9.35,7.2,5,1.94,5,yes
WI,47,510,no,no,0,216.5,98,36.8,144.8,98,12.31,147.5,122,6.64,8.5,4,2.29,0,no
AK,91,415,no,no,0,185.8,124,31.59,176.5,108,15.0,153.1,120,6.89,13.9,5,3.75,1,no
UT,85,408,no,no,0,212.5,73,36.12,167.0,124,14.2,177.0,79,7.96,11.6,1,3.13,3,yes
WV,105,408,no,no,0,201.9,78,34.32,213.5,100,18.15,219.5,103,9.88,8.0,7,2.16,2,yes
MS,160,408,no,no,0,223.3,95,37.96,159.8,64,13.58,163.3,106,7.35,9.6,5,2.59,2,no
TN,171,510,yes,yes,15,121.5,96,20.66,206.6,85,17.56,137.9,119,6.21,6.6,2,1.78,2,no
GA,90,510,no,yes,3,140.4,98,23.87,256.7,91,21.82,235.5,97,10.6,15.7,3,4.24,3,no
LA,88,510,no,yes,8,159.6,80,27.13,215.3,122,18.3,212.9,129,9.58,9.6,2,2.59,4,no
ND,80,510,no,no,0,175.3,115,29.8,147.5,127,12.54,166.9,105,7.51,9.8,7,2.65,2,no
LA,105,510,no,no,0,235.6,81,40.05,262.4,71,22.3,195.8,103,8.81,7.4,5,2.0,0,no
WI,31,415,no,no,0,187.1,78,31.81,237.5,78,20.19,206.2,79,9.28,11.7,1,3.16,0,no
DE,50,415,no,no,0,213.0,124,36.21,257.6,91,21.9,183.4,81,8.25,10.9,5,2.94,1,no
HI,105,415,no,yes,6,205.8,75,34.99,204.0,132,17.34,214.9,144,9.67,11.6,1,3.13,1,no
CO,189,510,no,yes,3,149.4,119,25.4,215.2,118,18.29,182.3,108,8.2,0.0,5,0.0,2,no
MT,74,415,yes,no,0,170.7,84,29.02,176.9,117,15.04,194.5,72,8.75,10.1,3,2.73,3,yes
IA,32,510,no,no,0,110.8,95,18.84,212.0,81,18.02,212.6,102,9.57,11.6,4,3.13,3,no
AK,48,415,no,yes,7,166.2,82,28.25,200.6,100,17.05,208.0,108,9.36,5.2,4,1.4,1,no
NM,86,510,no,no,0,157.5,99,26.78,158.1,88,13.44,227.6,94,10.24,6.8,1,1.84,3,no
MI,108,415,no,yes,4,140.2,105,23.83,187.9,135,15.97,257.1,86,11.57,12.1,2,3.27,0,no
IL,83,415,no,yes,9,179.1,100,30.45,255.1,89,21.68,207.1,75,9.32,11.0,1,2.97,1,no
VT,138,408,yes,no,0,214.5,69,36.47,194.1,106,16.5,206.1,63,9.27,7.3,8,1.97,3,yes
MA,192,510,yes,no,0,154.2,125,26.21,241.1,80,20.49,235.2,106,10.58,9.3,2,2.51,3,yes
FL,154,408,no,no,0,145.1,112,24.67,141.2,80,12.0,192.5,124,8.66,7.3,2,1.97,2,no
TX,95,510,no,no,0,183.8,115,31.25,199.0,72,16.92,236.4,85,10.64,10.1,7,2.73,1,yes
AZ,87,408,no,yes,9,198.5,112,33.75,199.3,96,16.94,161.2,83,7.25,15.7,3,4.24,2,no
KY,90,408,no,yes,4,105.8,115,17.99,219.2,124,18.63,129.3,111,5.82,6.1,0,1.65,3,no
DE,91,408,yes,no,0,201.1,68,34.19,246.3,97,20.94,168.6,68,7.59,15.0,2,4.05,1,no
TX,49,408,yes,no,0,265.6,104,45.15,258.1,85,21.94,263.6,115,11.86,11.7,5,3.16,3,yes
ID,51,510,no,no,0,168.3,74,28.61,205.3,61,17.45,148.2,82,6.67,11.8,5,3.19,1,no
LA,54,415,yes,no,0,167.9,107,28.54,202.6,113,17.22,227.9,72,10.26,13.8,2,3.73,2,no
MT,90,408,no,no,0,139.6,125,23.73,183.4,123,15.59,250.8,108,11.29,10.9,0,2.94,1,no
ND,149,510,no,no,0,199.6,79,33.93,166.8,94,14.18,189.5,118,8.53,8.0,5,2.16,2,yes
VT,86,510,no,no,0,195.1,85,33.17,220.3,114,18.73,210.5,108,9.47,12.3,3,3.32,2,no
MA,102,408,no,yes,5,145.7,112,24.77,175.5,94,14.92,192.3,99,8.65,10.4,4,2.81,1,no
MD,77,415,no,no,0,175.4,114,29.82,253.2,118,21.52,174.7,107,7.86,10.2,7,2.75,1,no
CO,1,415,no,no,0,161.2,121,27.4,134.8,73,11.46,194.3,78,8.74,6.8,5,1.84,2,no
FL,20,415,no,no,0,207.6,137,35.29,167.8,83,14.26,226.7,69,10.2,8.1,7,2.19,3,yes
AL,70,415,no,yes,9,203.0,106,34.51,196.1,102,16.67,172.8,125,7.78,8.8,1,2.38,1,no
OK,116,408,no,no,0,252.2,102,42.87,169.3,119,14.39,223.2,79,10.04,11.1,2,3.0,2,yes
IN,86,415,yes,no,0,215.2,122,36.58,190.4,123,16.18,132.2,74,5.95,11.0,2,2.97,0,yes
OK,43,415,no,yes,6,181.5,69,30.86,223.1,135,18.96,297.7,101,13.4,12.4,6,3.35,2,no
AL,132,408,no,yes,11,258.4,109,43.93,177.3,86,15.07,195.1,103,8.78,13.1,3,3.54,1,no
NM,93,415,no,yes,18,214.7,107,36.5,167.4,72,14.23,209.8,85,9.44,6.3,4,1.7,1,no
NH,125,510,no,no,0,155.1,60,26.37,189.0,132,16.07,176.0,95,7.92,10.0,3,2.7,2,no
NC,171,408,no,yes,11,111.5,138,18.96,186.0,116,15.81,225.3,126,10.14,8.1,0,2.19,2,no
KY,155,408,no,no,0,155.6,70,26.45,201.5,124,17.13,199.8,104,8.99,9.9,3,2.67,2,no
TX,19,415,no,no,0,146.0,108,24.82,166.8,101,14.18,199.8,110,8.99,6.8,9,1.84,2,no
NE,105,510,no,no,0,80.5,119,13.69,203.5,115,17.3,192.1,132,8.64,8.9,3,2.4,1,no
VT,108,408,no,yes,7,145.8,73,24.79,224.5,31,19.08,159.1,128,7.16,9.3,4,2.51,1,no
WI,202,510,no,no,0,167.3,127,28.44,107.9,58,9.17,156.6,76,7.05,10.6,4,2.86,2,yes
ME,86,510,no,yes,8,166.8,125,28.36,126.5,49,10.75,213.6,100,9.61,14.5,4,3.92,3,no
MS,94,408,no,no,0,175.1,82,29.77,191.3,127,16.26,186.2,61,8.38,4.8,6,1.3,1,no
KS,56,415,yes,no,0,263.1,84,44.73,211.4,120,17.97,191.2,106,8.6,14.3,8,3.86,1,yes
MA,88,510,no,yes,6,169.7,66,28.85,168.4,117,14.31,213.1,91,9.59,15.9,4,4.29,1,no
WA,116,510,no,yes,6,235.0,105,39.95,190.6,126,16.2,186.9,65,8.41,18.2,4,4.91,2,no
FL,93,510,no,no,0,205.5,96,34.94,208.1,110,17.69,184.9,96,8.32,10.7,1,2.89,1,no
ND,118,408,no,no,0,214.5,96,36.47,178.7,111,15.19,142.6,57,6.42,17.8,5,4.81,3,no
DE,117,510,no,no,0,163.8,117,27.85,249.0,81,21.17,261.8,93,11.78,16.0,6,4.32,0,no
IL,131,408,no,no,0,233.5,83,39.7,141.8,111,12.05,206.6,120,9.3,7.9,5,2.13,2,yes
MS,81,415,no,no,0,143.3,90,24.36,251.1,97,21.34,153.5,69,6.91,16.6,4,4.48,1,no
MS,32,415,no,no,0,134.2,111,22.81,277.0,85,23.55,285.3,102,12.84,4.1,1,1.11,2,no
GA,90,415,no,no,0,126.9,113,21.57,169.3,84,14.39,155.7,49,7.01,6.0,3,1.62,0,no
WY,84,510,no,no,0,161.6,96,27.47,222.0,75,18.87,228.3,83,10.27,8.6,2,2.32,2,yes
SD,59,408,no,no,0,117.4,123,19.96,195.2,101,16.59,200.8,73,9.04,12.4,7,3.35,0,no
NJ,175,510,no,yes,9,120.2,103,20.43,214.4,139,18.22,159.4,92,7.17,6.6,4,1.78,0,no
SC,65,415,yes,no,0,194.0,107,32.98,172.8,77,14.69,216.3,137,9.73,13.7,5,3.7,2,yes
UT,87,415,no,no,0,256.2,104,43.55,195.0,81,16.58,217.7,120,9.8,12.6,4,3.4,2,no
HI,25,510,no,no,0,117.2,137,19.92,155.7,78,13.23,167.8,151,7.55,9.8,4,2.65,1,no
NC,153,408,no,no,0,187.3,58,31.84,246.8,76,20.98,162.2,107,7.3,11.1,3,3.0,0,no
ME,121,510,no,no,0,181.1,97,30.79,189.4,149,16.1,158.6,117,7.14,10.0,5,2.7,1,no
VA,24,415,no,no,0,141.9,134,24.12,178.8,97,15.2,278.5,106,12.53,10.9,3,2.94,0,no
OH,100,510,yes,no,0,208.3,68,35.41,213.8,71,18.17,229.5,100,10.33,7.4,5,2.0,0,no
PA,80,415,no,yes,8,189.2,121,32.16,206.1,65,17.52,133.0,93,5.98,9.8,6,2.65,1,no
CT,26,415,no,yes,8,157.2,92,26.72,232.4,94,19.75,241.5,90,10.87,12.2,3,3.29,2,no
CT,16,510,no,no,0,197.8,142,33.63,146.9,60,12.49,147.5,117,6.64,13.4,5,3.62,1,yes
ME,149,415,no,no,0,176.5,114,30.01,215.9,86,18.35,167.9,121,7.56,2.0,4,0.54,4,no
SD,67,408,no,no,0,162.1,92,27.56,165.1,105,14.03,275.4,90,12.39,13.9,2,3.75,2,no
NC,128,510,no,yes,12,247.8,93,42.13,198.7,108,16.89,129.8,117,5.84,17.3,7,4.67,0,no
ID,71,415,no,no,0,177.5,92,30.18,210.2,117,17.87,175.2,102,7.88,8.8,6,2.38,1,no
FL,92,415,no,yes,9,165.1,105,28.07,172.0,108,14.62,172.9,102,7.78,8.9,8,2.4,2,no
DE,88,415,yes,no,0,174.8,91,29.72,167.1,109,14.2,178.9,103,8.05,11.2,4,3.02,1,no
FL,142,510,no,no,0,207.1,124,35.21,220.2,126,18.72,118.9,97,5.35,7.9,4,2.13,0,no
CO,53,415,no,yes,12,148.0,122,25.16,197.5,140,16.79,201.5,122,9.07,10.9,3,2.94,1,no
VT,97,510,no,no,0,152.1,112,25.86,224.8,101,19.11,229.0,103,10.3,7.4,2,2.0,0,no
WI,80,415,no,no,0,164.4,86,27.95,175.1,122,14.88,113.3,90,5.1,10.7,4,2.89,1,no
CA,98,510,yes,no,0,210.7,116,35.82,173.8,89,14.77,273.6,119,12.31,9.2,3,2.48,1,no
OK,75,408,no,yes,4,207.5,121,35.28,213.4,60,18.14,197.7,106,8.9,9.3,6,2.51,0,no
MI,94,510,no,no,0,197.4,97,33.56,208.2,86,17.7,177.0,103,7.96,10.5,6,2.83,4,no
VA,51,510,no,yes,9,204.0,79,34.68,219.3,103,18.64,147.0,119,6.61,6.2,4,1.67,1,no
WA,127,408,no,no,0,180.0,122,30.6,291.6,76,24.79,171.9,153,7.74,11.3,5,3.05,2,no
CA,107,408,no,no,0,142.4,96,24.21,239.1,123,20.32,216.7,127,9.75,6.2,4,1.67,1,no
WY,82,510,no,yes,12,262.4,94,44.61,271.4,67,23.07,190.6,96,8.58,9.9,6,2.67,1,no
NH,88,408,no,no,0,173.1,134,29.43,189.1,99,16.07,136.4,144,6.14,6.1,8,1.65,1,no
CT,69,415,no,no,0,262.3,104,44.59,223.3,83,18.98,157.3,88,7.08,9.6,3,2.59,2,yes
LA,81,415,no,no,0,251.0,120,42.67,200.3,120,17.03,117.1,115,5.27,6.6,1,1.78,3,yes
WV,64,408,no,yes,4,150.0,106,25.5,224.7,67,19.1,153.1,74,6.89,9.5,6,2.57,2,no
DE,154,408,no,no,0,193.6,77,32.91,220.0,126,18.7,155.9,139,7.02,11.2,3,3.02,5,yes
FL,66,408,no,no,0,184.8,94,31.42,273.3,125,23.23,271.1,84,12.2,13.3,4,3.59,2,no
RI,124,408,no,yes,7,186.6,121,31.72,206.1,110,17.52,212.8,97,9.58,7.4,6,2.0,1,no
VT,42,408,yes,no,0,130.0,104,22.1,274.9,81,23.37,197.7,123,8.9,12.7,4,3.43,3,no
NH,50,510,no,no,0,135.6,91,23.05,170.1,126,14.46,175.3,107,7.89,11.8,5,3.19,4,no
NV,51,408,yes,no,0,169.5,90,28.82,188.7,84,16.04,154.6,90,6.96,10.5,3,2.83,2,yes
DC,98,510,no,no,0,191.2,88,32.5,212.5,69,18.06,226.3,91,10.18,6.6,5,1.78,4,yes
TN,92,408,no,no,0,194.3,88,33.03,121.2,111,10.3,145.8,86,6.56,12.5,6,3.38,3,no
ND,90,408,no,no,0,159.3,74,27.08,144.4,94,12.27,185.9,96,8.37,9.7,2,2.62,1,no
UT,111,415,no,no,0,206.2,75,35.05,179.0,111,15.22,148.1,102,6.66,10.1,4,2.73,2,no
RI,26,408,yes,no,0,245.4,119,41.72,177.2,116,15.06,246.0,74,11.07,8.2,4,2.21,3,no
IL,97,408,no,no,0,196.1,105,33.34,162.6,106,13.82,197.0,105,8.87,10.8,3,2.92,8,yes
WA,102,408,no,no,0,150.6,82,25.6,187.9,122,15.97,247.5,98,11.14,7.2,9,1.94,1,no
WA,105,415,no,yes,11,233.9,54,39.76,240.0,65,20.4,210.8,147,9.49,9.9,4,2.67,0,no
SC,69,408,no,yes,7,192.2,78,32.67,263.9,82,22.43,176.6,80,7.95,15.4,4,4.16,2,yes
ID,11,510,yes,yes,8,94.8,96,16.12,200.0,102,17.0,274.2,102,12.34,6.8,9,1.84,0,no
UT,66,408,no,yes,7,279.1,96,47.45,249.0,55,21.17,253.7,71,11.42,9.2,5,2.48,6,yes
NY,153,510,no,no,0,198.1,67,33.68,116.3,93,9.89,238.2,84,10.72,13.2,3,3.56,3,no
NJ,101,408,yes,no,0,172.5,53,29.33,206.5,121,17.55,234.8,116,10.57,9.8,6,2.65,5,yes
SD,72,408,no,no,0,226.6,87,38.52,253.7,99,21.56,177.2,85,7.97,14.5,6,3.92,1,no
VT,108,408,no,no,0,132.2,93,22.47,134.4,101,11.42,246.6,64,11.1,10.4,5,2.81,1,no
DE,86,510,no,no,0,142.5,96,24.23,166.6,110,14.16,178.8,94,8.05,12.9,6,3.48,0,no
SD,78,415,no,yes,7,154.1,106,26.2,250.1,88,21.26,256.6,83,11.55,9.3,6,2.51,1,no
NJ,177,510,no,no,0,168.0,87,28.56,204.2,129,17.36,218.1,97,9.81,3.8,7,1.03,1,no
FL,50,510,no,no,0,221.7,85,37.69,182.1,85,15.48,160.6,99,7.23,5.6,1,1.51,2,yes
